suhu,kelembaban,kelembaban_tanah,intensitas_cahaya,label
41.74,33.19,60.54,91,1
53.48,43.74,33.79,26.62,0
64.95,91.36,17.43,17.89,1
90.11,54.85,52.68,98.15,0
23.68,81.66,6.62,86.11,1
50.64,28.54,82.61,47.3,0
79.71,79.57,12.41,82.44,1
24.67,53.65,57.42,65.23,0
65.49,62.63,26.6,39.11,1
46.72,98.79,86.24,69.87,0
63.55,44.47,61.41,86.56,1
28.99,16.32,93.68,21.22,0
37.73,54.16,26.71,99.31,1
46.52,66.22,51.29,58.55,0
43.32,15.7,22.56,88.07,1
41.71,86.79,44.49,99.53,0
36.59,34.19,6.3,95.13,1
67.95,58.12,59.74,9.6,0
79.51,9.47,93.77,75.95,1
28.6,28.19,55.25,3.59,0
32.95,89.82,5.72,32.76,1
13.42,98.18,59.91,63.01,0
76.72,70.27,28.79,48.33,1
7.52,99.1,60.13,34.42,0
83.37,37.47,75.92,98.36,1
75.85,55.71,64.96,11.65,0
73.99,13.04,9.57,5.85,1
9.65,53.88,94.86,2.95,0
74.66,15.96,23.47,83.88,1
30.47,24.59,39.86,49.63,0
17.57,56.26,5.6,50.26,1
3.79,29.06,88.42,57.82,0
26.23,91.67,7.28,35.81,1
53.02,48.84,68.9,62.92,0
34.24,45.24,25.82,73.28,1
12.73,38.91,37.85,14.97,0
20.19,83.59,4.2,46.06,1
10.56,64.63,47.6,51.47,0
5.05,9.78,19.73,91.35,1
14.09,92.8,86.32,17.01,0
20.21,82.01,24.79,62.22,1
48.84,14.62,58.55,62.41,0
97.46,38.94,55.74,95.51,1
56.88,89.39,48.36,25.78,0
73.1,83.86,25.07,65.78,1
78.25,52.87,61,7.86,0
33.79,54.93,29.15,59.69,1
5.12,9.78,64.19,26.36,0
95.77,31.91,0.36,91.6,1
9.6,6.67,73.69,84.57,0
8.56,29.95,1.36,95.11,1
85.77,13.8,88.21,31.75,0
78.38,13.07,93.75,93.19,1
93.31,28.51,75.23,32.13,0
77.4,48.23,28.9,17.95,1
85.87,95.92,78,49.07,0
19.32,50.07,21.21,51.79,1
86.48,35.09,78.25,64.33,0
86.27,31.18,20.03,19.71,1
65.1,98.08,46.08,0.92,0
7.08,79.1,6.26,38.41,1
27.12,75.41,71.55,82.72,0
61.01,67.1,15.54,80.88,1
27.52,4.27,30.54,61.67,0
28.96,69.46,14.87,12.26,1
52.17,65.93,88.48,58.25,0
8.89,48.53,16.57,5.46,1
20.17,24.8,67.8,65.16,0
11.23,25.59,15.26,78.13,1
16.41,89.98,95.01,58.07,0
41.71,61.33,7.61,18.2,1
22.68,58.22,83.91,77.4,0
31.14,18.78,19.72,6.94,1
57.6,90.7,44.73,82.43,0
97.05,68.3,16.66,76.98,1
42.75,79.15,41.34,51.75,0
35.29,36.37,57.04,91.06,1
72.74,68.52,77.15,4.93,0
95.92,67.98,3.97,52.05,1
62.4,33.57,57.79,9.86,0
30,15.09,19.06,89.03,1
55.59,95.84,48.65,55.65,0
82.17,68,19.36,44.28,1
18.16,43.05,95.69,54.98,0
60.61,34.68,12.29,59.74,1
20.84,30.32,75.61,19.62,0
36.63,55.03,23.54,50.79,1
96.14,94.55,64.26,38.23,0
5.43,68.28,9.04,15,1
23.22,3.6,38.55,1.04,0
81.43,36.83,86.7,99.98,1
60.87,6.13,90.03,11.93,0
62.81,59.05,13.26,28.54,1
35.58,9.73,92.94,50.32,0
33.07,76.56,7.05,86.53,1
97.48,95.55,76.09,70.4,0
97.43,72.81,19.72,47.47,1
29.8,69.99,42.42,66.71,0
47.84,46.67,21.17,86.47,1
2.25,38.99,41.43,91.51,0
14.62,31.68,24.15,75.81,1
76.98,43.5,48.54,1.9,0
54.46,4.59,72.75,93.92,1
89.09,14.89,66.35,32.1,0
46.06,5.95,82.52,91.36,1
14.45,38.65,62.07,21.26,0
13.96,3.22,7.45,20.92,1
4.9,47.4,54.76,44.61,0
44.67,10.7,1,62.33,1
60.14,43.55,36.53,35.55,0
60.9,88.73,15.57,83.04,1
98.94,84.46,85.39,7.75,0
48.05,44.4,18.64,5.41,1
69.97,19.48,35.52,66.45,0
67.44,82.79,3.8,86,1
16.29,60,74.61,22.71,0
24.61,30.97,15.34,18.89,1
75.68,66.66,41.03,59.61,0
98.59,79.01,13.9,43.39,1
65.2,73.85,90.45,1.78,0
25.32,12.92,5.36,52.44,1
66.72,53.02,34.92,69.61,0
3.4,68.81,9.92,64.53,1
9.63,95.81,62.07,14.98,0
98.12,17.49,74.31,90.92,1
92.33,89.57,98.81,1.09,0
16.38,2.83,20.24,22.97,1
6.71,29.19,36.02,90.08,0
33.65,19.11,59.82,80.63,1
44.81,54.32,35.29,60.79,0
49.27,31.4,56.54,92.29,1
77.51,76.87,84.9,75.77,0
99.69,78.4,19.19,87.98,1
3.68,54.21,50.36,75.6,0
47.45,92.16,21.95,61.74,1
82.19,63.88,39.95,65.42,0
66.83,9.92,19.73,64.19,1
6.54,75.08,88.83,79.67,0
56.51,81.79,4.68,88.22,1
65.46,89.29,39.34,82.41,0
72.55,2.9,43.27,84.4,1
84.6,74.92,56.35,3.07,0
82.43,32.95,67.01,75.77,1
65.68,53.26,86.41,13.89,0
67.37,41.98,7.07,81.37,1
69.23,48.42,40.18,64.42,0
50.56,40.59,58.3,73.9,1
44.47,10.66,78.28,12.81,0
80.63,80.95,22.79,27.67,1
32.44,65.86,51.43,67.15,0
77.27,79.58,29.53,39.48,1
2,26.45,67.65,74.16,0
58.83,9.49,27.21,1.34,1
45.68,73.37,95.8,31.44,0
1.74,49.2,9.77,75.76,1
37.71,21.4,70.15,49.95,0
6.46,87.47,18.46,63.69,1
17.21,8.2,73.03,69.15,0
76.32,26.42,5.78,96.08,1
